References,Family,,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,,445,NP за NP-Acc,NP за NP-Acc,Пришлось платить штраф за неправильную парковку.,,,,,,,,,,,Head + Modifier Construction,Nominal pattern,Nominal pattern,,Salient property,Unspecified,Cause,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,
,,,446,NP за NP-Acc,NP за NP-Acc,Журнал за ноябрь скоро выйдет из печати.,,,,,,,,,,,Head + Modifier Construction,Nominal pattern,,,Time,Time period,Salient property,Unspecified,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,Time period,,,,
,,,447,и впрямь/вправду XP,и впрямь/вправду XP,Я и впрямь ему верю.,,,,,,,,,,,Cl/XP with parentheticals,Parenthetical,,,Reaction to the previous discourse,,Epistemic modality,High degree of certainty,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,High degree of certainty,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,,448,"и так XP, (а) Cl","и так XP, (а) Cl","Мне и так плохо, а ты ещё лезешь с вопросами.",,,,,,,,,,,Biclausal Construction,Clause,,,Concession,,,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,449,Noun из ~Noun-Gen.Pl,Noun из Noun-Gen.Plur,"Сейчас покажу вам чудо из чудес, мой новый фотоаппарат!",,,,,,,,,,,Head + Modifier Construction,Nominal pattern,Nominal pattern; Reduplication,,Assessment,Positive,,,,,,,,,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,450,NP-Nom иметь дело с NP-Ins,NP иметь дело с NP-Ins,Он когда-то имел дело с трудными подростками.,,,,,,,,,,,Predicate Argument Construction,Verb,,,Temporary characteristics,Sircumstances,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,Sircumstances,,,
,,,451,NP как будто VP,NP как будто VP,Они как будто уезжают сегодня.,,,,,,,,,,,Head + Modifier Construction,Adv,Adv,,Epistemic modality,Low degree of certainty,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,452,как бы XP,как бы XP,Спектакль как бы разбит на несколько частей.,,,,,,,,,,,Head + Modifier Construction,Adv,Adv,,Epistemic modality,Low degree of certainty,Degree of accuracy,Approximate,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,Approximate,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,453,NP-Nom как VP-Pfv.Pst,NP-Nom как VP-Perf.Pst,У него как затряслись руки.,,,,,,,,,,,Clause,Clause,,,Phase of action,Inchoative,Mirative,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,Inchoative,,,,,,,,,,,,,,,,,,,,,
,,,454,NP лет NumCrd-Gen,NP лет NumCrd-Gen,Вошел старик лет семидесяти.,,,,,,,,,,,Head + Modifier Construction,Adj; Nominal pattern,,,Measure,Age,Degree of accuracy,Approximate,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,Approximate,,,,,,,,,Age,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,455,NP-Nom Cop не против (VP-Inf),NP-Nom Cop не против (VP-Inf),Я не против поехать в деревню.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Attitude,Support,Reaction to the previous discourse,Agreement,,,,,,,NA,,,,,,,,,,,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agreement,,,,,,,,,,,,,,,
,,,456,NP с большой буквы,NP с большой буквы,Врач с большой буквы,,,,,,,,,,,Head + Modifier Construction,Adj,,,Assessment,Positive,,,,,,,,,NA,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,457,с виду Adj NP,с виду Adj NP,Старик был с виду спокоен.,,,,,,,,,,,Head + Modifier Construction,Nominal pattern,Nominal pattern,,Comparison,Imitation,,,,,,,,,NA,,,,,,,,,,,,,,,,,Imitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,458,NP только что не Cl,NP только что не Cl,Его только что не на руках носят.,,,,,,,,,,,Clause,Adv,,,Degree of intensity,Booster,,,,,,,,,Obsolete,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,459,NP цвета NP-Gen,NP цвета NP-Gen,Девушка с глазами цвета неба,,,,,,,,,,,Head + Modifier Construction,Adj; Nominal pattern,Noun,,Salient property,Unspecified,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,
,,,460,NP-Nom Cop что надо,NP-Nom Cop что надо,Праздник что надо.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Assessment,Positive,,,,,,,,,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,461,NP Adj/Noun,NP Adj/Noun,У нее была юбка мини и платье-футляр.,,,,,,,,,,,Head + Modifier Construction,Adj,,,Salient property,Unspecified,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,
,,,462,NP NP-Ins,NP NP-Ins,У него голова тыквой.,,,,,,,,,,,Head + Modifier Construction,Adj; Nominal pattern,Nominal pattern,,Salient property,Visual property,Comparison,Similarity,,,,,,,Colloquial,,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual property,,,,,,,,,,
,"Семья континуативных конструкций с семантикой Forever (towards the past) since remote past; mostly - inceptive continuative (with preposition ""с"")",,463,VP с NumCrd-Gen лет/часов,VP с NumCrd-Gen лет/часов,Я играю в баскетбол с десяти лет.,A2,"Конструкция называет [возраст]Number или [момент времени]Time, с которого [участник]Participant [выполняет некоторое действие]Action или оказывается в [определенной ситуации]Situation.",This construction expresses the [age]Number at which a [participant]Participant began [carrying out an action or being in a certain situation]Action.,,"[Я]Participant [писал стихи]Action всегда, а точнее, с [шести]Number лет.","Мать Альберта была музыкально одарённым человеком, поэтому Эйнштейна с [пяти]Number лет [обучали игре на скрипке]Action.","― Миша, не обижайся, но [ [я]Participant с  [пятнадцати]Number лет  [люблю Васю]Action.","И мы знаем, что с [четырех часов]Time [дверь могла быть не заперта]Situation. ",[Они]Participant [занимали очереди за билетами на фильм Кэмерона]Action с [четырех часов утра]Time. ,Gen,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Time,Temporal boundary,Phase of action,Continuative,,,,,"Number, Time, Participant, Action, Situation",,NA,"с, лет, часов",,"Семья континуативных конструкций с семантикой Forever (towards the past) since remote past; mostly - inceptive continuative (with preposition ""с"")",[root [nsubj/obj NP] VP [obl [case с] [nummod Num-Gen] лет]]; [root [nsubj я] играю [obl [case в] баскетбол] [obl [case с] [nummod десяти] лет]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,Temporal boundary,,,,
,,,464,VP NP-Acc за NP-Ins,VP NP-Acc за NP-Ins,Он курит сигарету за сигаретой.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,Prep,Prep,Actionality,Distributive,Phase of action,Continuative,,,,,,,NA,,,,,Distributive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,,,,,
,,,465,NP-Acc звать NP-Ins/NP-Nom,NP-Acc звать NP-Ins/NP-Nom,Мальчика звать Юрой.,,,,,,,,,,,Predicate Argument Construction,Verb,,,Salient property,Naming,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naming,,,,,,,,,,
,,,466,NP-Acc не проведёшь,NP-Acc не проведешь,Почтальона не проведёшь.,,,,,,,,,,,Clause,Clause,,,Assessment,Positive,,,,,,,,Assertive,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,467,NP-Nom отдать NP-Acc в/на NP-Acc,NP-Nom отдать NP-Acc в/на NP-Acc,Мы хотим отдать детей в музыкальную школу.,,,,,,,,,,,Predicate Argument Construction,Verb,,,Causation,Direct,Spatial expression,Path:Goal,,,,,,,NA,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Path: Goal,,,,,,,
,,,468,NP-Nom привлекать NP-Acc в NP-Loc,NP-Nom привлекать NP-Acc в NP-Loc,Женщин привлекают в богачах их деньги.,,,,,,,,,,,Predicate Argument Construction,Verb,,,Attitude,Emotional attitude: Interest,,,,,,,,,NA,,,,,,,,,,,Emotional attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,469,NP-Acc прочить-3.Pl NP-Ins/в NP-Acc,NP-Acc прочить-3.Plur NP-Ins/в NP-Acc,Его прочили в директора.,,,,,,,,,,,Clause,Verb pattern,,,Timeline,Future,Attitude,Positive,,,,,,,Obsolete,,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Future,,
,,,470,NP-Acc (за NP-Acc) убить Cop мало!,NP-Acc (за NP-Acc) убить Cop мало!,За такое поведение его убить мало.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Assessment,Negative,Threat,,Degree of intensity,Booster,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,
,,,471,NP-Dat (не) Verb-ся,NP-Dat (не) V-ся,Мне не спится.,,,,,,,,,,,Predicate Argument Construction,Affix,,,Temporary characteristics,Physical state,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical state,,,
,,,472,NP-Dat Cop всё равно,NP-Dat Cop всё равно,Мне всё равно.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Attitude,Unconcern,,,,,,,,,NA,,,,,,,,,,,Unconcern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The family of ASSESSMENT constructions, General Holistic Assessment cluster, family of constructions formed by praedicative phrases expressing negative assessement",,473,NP-Dat Cop далеко до NP-Gen,NP-Dat Cop далеко до NP-Gen,Тебе далеко до лучшего работника.,A2,"Конструкция обозначает, что [участник ситуации]Participant или [объект]Theme не обладает достаточными качествами и недостаточно хорош, чтобы быть как [эталон]Standard. Конструкция основана на сравнении и содержит оценочную характеристику возможностей или качеств [участника]Participant или [объекта]Theme как значительно уступающих возможностям или качествам [того эталона, с которым они сравниваются]Standard.",This construction means that a [participant]Participant or [an object]Theme lacks sufficient qualities and is not good enough in relation to a [standard]Standard.,,"Видите ли, дело в том, что [губернатору области]Participant ещё далеко до [президента]Standard.","Что бы фашисты ни делали с народами, как бы они ни были жестоки, [им]Participant далеко до [большевиков]Standard.","Не говорю уж о Пушкине, в подлинном воздействии на умы [ему]Participant далеко до [Толстого]Standard или [Достоевского]Standard.",[Этому проекту]Theme явно было далеко до [звания “лучшей в мире компании”.]Standard,"Это тоже весьма динамичный автомобиль, но по разгону [ему]Theme далеко до [RS 6]Strandard: и тяжелее лимузин, и моторы у него послабее, а стоит почти столько же.","NP, Dat, Gen",Copula Construction,Praedicаtive Expression,,,Assessment,Negative,,,,,,,"Participant, Theme, Strandard",,Colloquial,"далеко, до",NA,Ср. с похожей конструкцией 100 далеко до NP-Gen (Ещё было далеко до дома.),[root [obl NP-Dat] далеко [obl [case до] NP-Gen]],,,,,,Negative,,,,,,,Contrast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,474,NP-Dat дать NumCrd-Nom лет,NP-Dat дать NumCrd-Nom лет,Паше дают двадцать лет на вид.,,,,,,,,,,,Predicate Argument Construction,Verb,,,Measure,Age,Degree of accuracy,Approximate,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,Approximate,,,,,,,,,Age,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,475,NP-Dat идти XP,NP-Dat идти XP,Ей идёт эта причёска.,,,,,,,,,,,Predicate Argument Construction,Verb,,,Assessment,Positive,,,,,,,,,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,476,NP-Dat ли Cop не VP-Inf,NP-Dat ли Cop не VP-Inf,Тебе ли не радоваться!,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Attitude,Disapproval,Assessment,Negative,Non-standard subject,Non-standard subject marking,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,Non-standard subject marking,,,,,,,,,,,,,,,,,,,,,,,
,,,477,NP-Dat ли Cop VP-Inf?,NP-Dat ли Cop VP-Inf?,Тебе ли жаловаться?,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Attitude,Disapproval,Assessment,Negative,Non-standard subject,Non-standard subject marking,,,,Interrogative / Exclamatory,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,Non-standard subject marking,,,,,,,,,,,,,,,,,,,,,,,
,,,478,NP-Dat лишь бы VP-Inf,NP-Dat лишь бы VP-Inf,Вам лишь бы деньги тратить.,,,,,,,,,,,Clause,Clause,,,Assessment,Negative,Quantification,Exclusive,Attitude,Disapproval,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,479,NP-Dat Cop не до NP-Gen,NP-Dat Cop не до NP-Gen,Мне не до уборки.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Attitude,Unwilling,,,,,,,,,Colloquial,,,,,,,,,,,Unwilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rakhilina, E.V. (2013), Conductor, press the brakes… [Konduktor, nažmi na tormoza...], Computational Linguistics and Intellectual Technologies. Papers from the Annual International Conference “Dialogue” [Komp’juternaja lingvistika i intellektual’nye texnologii: po materialam meždunarodnoj konferencii «Dialog»], Issue 12 (19), Russian State University for the Humanities, Moscow, pp. 665-673.","Family of prohibitive constructions Attenuated prohibition (milder than standard prohibition, kind of advice, request, warning)",,480,NP-Dat не пристало VP-Inf,NP-Dat не пристало VP-Inf,Тебе не пристало ходить по дискотекам.,C2,"Конструкция используется, когда говорящий категорично, но не резко побуждает [участника ситуации]Participant не выполнять [некоторое действие]Action. Это действие может произойти в будущем либо уже произошло и говорящий не хочет его повторения. Говорящий осуждает участника за выполнение этого действия, так как считает, что статус участника, его принадлежность к определенной группе (например, по гендерному или профессиональному признаку), его моральные или иные качества не позволяют ему выполнять это действие. Участник может быть представлен целой группой лиц или отдельным лицом, в том числе и собеседником говорящего. Кроме того, говорящий может обращаться к самому себе.",,,"― [Девушке]Participant не пристало [звонить кавалеру]Action, это он должен добиваться встречи.","[Ему]Participant не пристало [отвлекаться на всякую там чепуху]Action , вроде дурацких игр, детской болтовни и слез по пустякам.","Я бизнесмен серьезный, уважаемый, [[мне]Participant не пристало так [рисковать своей репутацией]Action.","[Историкам]Participant, говорят нам, не пристало [выступать в роли экспертов]Action, они пристрастны не меньше, чем современники событий.","― Да уж, [телезвезде]Participant не пристало [ходить там и сям в джинсах]Action!","NP, Dat, VP, Inf",Clause,Verb pattern,,,Prohibition,Attenuated prohibitive,,,,,,,Participant; Action,Assertive; Exclamatory,Colloquial,"не, пристало",,См. близкую конструкцию (NP-Dat) не стоит VP-Ipfv.Inf (не стоит разговаривать с ним).,[root [obl NP-Dat] [advmod не] пристало [nsubj VP-Inf]]; [root [obl тебе] [advmod не] пристало [nsubj ходить [obl [case по] дискотекам]]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attenuated prohibitive,,,,,,,,,,,,,,,,,,
,,,481,(NP-Dat) Cop можно VP-Inf,NP-Dat Cop можно VP-Inf,До Москвы из Лондона можно долететь за четыре часа.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Root modality,Possibility,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possibility,,,,,,,,,,,,
,,,482,NP-Dat нет дела до NP-Gen,NP-Dat нет дела до NP-Gen,Мне нет дела до твоих денег.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Attitude,Unconcern,,,,,,,,,Colloquial,,,,,,,,,,,Unconcern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,483,"NP-Dat ничего (другого) не оставаться (делать), (кроме) как VP-Inf","NP-Dat ничего (другого) не оставаться (делать), (кроме) как VP-Inf","Ему ничего не остаётся, как уехать из страны.",,,,,,,,,,,Matrix + Subordinate Clause Construction,Matrix Predicate,,,Quantification,Exclusive,Root modality,Necessity: External,Attitude,Negative,,,,,NA,,,,,,,,,,,Negative,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,
,,,484,NP-Dat Cop пора VP-Inf,NP-Dat Cop пора VP-Inf,Мне пора идти в школу.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Time,Proper time,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proper time,,,,
,,,485,NP-Dat стоить VP-Inf,NP-Dat стоить VP-Inf,Повару стоит научиться готовить.,,,,,,,,,,,Predicate Argument Construction,Verb,,,Causation,Indirect,Root modality,Necessity: External,,,,,,,NA,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,
,,,486,NP-Dat Cop стыдно за NP-Acc,NP-Dat Cop стыдно за NP-Acc,Мне стыдно за твое поведение.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Attitude,Disapproval,Temporary characteristics,Emotional state,Assessment,Negative,,,,,NA,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotional state,,,
,,,487,только бы/лишь/хоть (NP-Dat) Cop VP-Pfv.Inf,только бы/лишь/хоть (NP-Dat) Cop VP-Inf.Perf,Мне только бы увидеть ее.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Volition,,Quantification,Exclusive,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,,488,NP-Dat удалось VP-Inf,NP-Dat удалось VP-Inf,Мише удалось покурить.,,,,,,,,,,,Clause,Verb pattern,,,Actuality,,Result,subtype Result,,,,,,,NA,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,
,,,489,NP-Dat хватать NP-Gen,NP-Dat хватать NP-Gen,Нам хватает сахара.,,,,,,,,,,,Predicate Argument Construction,Verb,,,Measure,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,490,NP-Dat NP-Acc не сломить!,NP-Dat NP-Acc не сломить!,Армии меня не сломить!,,,,,,,,,,,Clause,Verb pattern,,,Attitude,Emotional attitude: Resistance,,,,,,,,,NA,,,,,,,,,,,Emotional attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,491,NP-Dat Noun-Nom Cop не (в) ~Noun-Acc (без NP-Gen),NP-Dat Noun-Nom Cop не (в) Noun-Acc (без NP-Gen),Девочкам радость не в радость.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,Nominal pattern; Reduplication,,Attitude,Emotional attitude,Temporary characteristics,Emotional state,,,,,,,Colloquial,,,,,,,,,,,Emotional attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotional state,,,
,,,492,(NP-Dat) Cop в лом VP-Inf,(NP-Dat) Cop в лом VP-Inf,Маше вставать с кровати было в лом.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Attitude,Unwilling,Volition,,,,,,,,Colloquial,,,,,,,,,,,Unwilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,,493,NP-Gen бы!,NP-Gen бы!,Чаю бы!,,,,,,,,,,,Clause,Clause,,,Causation,Indirect,Volition,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,,494,NP-Gen!,NP-Gen!,Спокойной ночи!,,,,,,,,,,,Clause,Clause,Noun,,Routine,Kind wishes,,,,,,,,Exclamatory,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kind wishes,,,,,,,,,,,
,,,495,NP-Gen.Pl Cop выше крыши/головы,NP-Gen.Plur Cop выше крыши/головы,Проблем выше крыши.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Measure,,Degree of intensity,Booster,Assessment,Negative,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,Booster,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,496,NP-Gen.Pl NumCrd,NP-Gen.Pl NumCrd,На лекцию пришли человек двадцать.,,,,,,,,,,,Head + Modifier Construction,Nominal pattern,,,Degree of accuracy,Approximate,Measure,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,Approximate,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,497,(NP-Dat) NP-Gen2 Cop бы Pred,(NP-Dat) NP-Gen2 Cop бы Praedic,Кофейку неплохо бы.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Causation,Indirect,Volition,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,,498,NP-Ins NP-Nom Cop в NP-Acc,NP-Ins NP-Nom Cop в NP-Acc,Лицом она в мать.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,Simplex prep,,Comparison,Similarity,,,,,,,,,NA,,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,499,XP как XP,XP как XP,Мальчик был как ангел.,,,,,,,,,,,Connection Construction,Conjunction,Conj,,Comparison,Similarity,,,,,,,,,NA,,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,500,NP-Nom Cop так себе,NP-Nom Cop так себе,Картина так себе.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Assessment,Negative,,,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,501,NP-Nom (опять/всё) за своё,NP-Nom (опять/всё) за своё,Витя опять за своё.,,,,,,,,,,,Clause,Clause,,,Assessment,Negative,Phase of action,Inchoative,Attitude,Disapproval,,,,Assertive,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,,,Inchoative,,,,,,,,,,,,,,,,,,,,,
,,,502,NP-Nom (это) Cop ещё ничего,NP-Nom (это) Cop ещё ничего,Это ещё ничего.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Assessment,Positive,Attitude,Acceptance of the situation,,,,,,Exclamatory,Colloquial,,,,,,,,,,Positive,Acceptance of the situation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,503,XP (NP-Dat) Cop ни к чему,XP (NP-Dat) Cop ни к чему,Ещё одно платье мне ни к чему.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,,,Assessment,Negative,Temporary characteristics,Appropriateness,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriateness,,,
,,,504,VP-Ipfv без устали ,VP-Imp без устали ,Жена без устали готовила на кухне.,,,,,,,,,,,Head + Modifier Construction,Adverbial Modifier,PP,Prep; Noun,Manner,,Degree of intensity,Booster,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,505,NP-Nom будто бы VP,NP-Nom будто бы VP,Маша будто бы ездила в другую страну.,,,,,,,,,,,Clause,Parenth,,,Epistemic modality,Low degree of certainty,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,506,NP-Nom в-Verb-ся в NP-Acc,NP-Nom в-Verb-ся в NP-Acc,Он хорошо вживается в образ.,,,,,,,,,,,Predicate Argument Construction,Affix,,,Degree of intensity,Booster,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,507,NP-Nom вести в NP-Acc,NP-Nom вести в NP-Acc,Дверь вела в комнату.,,,,,,,,,,,Predicate Argument Construction,Verb,,,Spatial expression,Path:Goal,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Path: Goal,,,,,,,
,,,508,NP-Nom вести NP-Acc,NP-Nom вести NP-Acc,Врач ведёт больного после операции.,,,,,,,,,,,Predicate Argument Construction,Verb,Verb,,Temporary characteristics,Sircumstances,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sircumstances,,,
,,,510,NP-Nom Cop готовый-Short VP-Inf,NP-Nom Cop готовый-Short VP-Inf,Он готов открыть счёт в банке.,,,,,,,,,,,Copula Construction,Praedicаtive Expression,Adj,,Temporary characteristics,Emotional state,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotional state,,,
